CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
12508,26,2,398.27,4,2,2,422
12509,284,1,176.5,1,1,1,111
12510,143,2,982.5699999999999,2,2,4,224
12512,66,2,138.03,3,2,1,321
12513,113,1,612.29,2,1,3,213
12514,267,1,1017.6800000000001,1,1,4,114
12515,353,1,383.7,1,1,2,112
12516,78,2,1312.06,2,2,4,224
12517,28,5,2502.84,4,4,5,445
12518,1,5,2056.89,5,4,4,544
12519,64,1,340.84000000000003,3,1,2,312
12520,79,5,2634.26,2,4,5,245
12521,143,1,599.68,2,1,3,213
12522,39,2,192.72,3,2,1,321
12523,19,11,1789.77,4,5,4,454
12524,9,8,4485.72,5,5,5,555
12526,1,3,1316.66,5,3,4,534
12527,82,3,348.71000000000004,2,3,2,232
12528,9,6,1933.48,5,5,4,554
12530,60,4,1662.28,3,4,4,344
12531,15,1,125.22,4,1,1,411
12532,30,1,349.83000000000004,4,1,2,412
12534,131,1,1089.18,2,1,4,214
12535,92,2,716.35,2,2,3,223
12536,43,3,12601.830000000002,3,3,5,335
12538,29,1,363.95,4,1,2,412
12539,22,4,5568.35,4,4,5,445
12540,20,17,13400.24,4,5,5,455
12541,30,3,981.18,4,3,4,434
12544,36,1,372.7,3,1,2,312
12545,75,2,1000.39,2,2,4,224
12546,47,2,1161.5,3,2,4,324
12547,198,2,207.8,1,2,1,121
12548,166,1,95.19999999999999,2,1,1,211
12550,79,1,964.83,2,1,4,214
12551,358,1,168.0,1,1,1,111
12552,39,2,437.82,3,2,2,322
12553,8,10,3692.28,5,5,5,555
12556,50,2,603.71,3,2,3,323
12557,16,5,11990.960000000001,4,4,5,445
12558,8,1,269.96,5,1,2,512
12559,311,2,561.71,1,2,3,123
12560,5,3,2134.01,5,3,5,535
12561,303,1,238.85,1,1,1,111
12562,8,7,3781.7400000000002,5,5,5,555
12564,261,1,456.90000000000003,1,1,2,112
12566,86,1,351.65,2,1,2,212
12567,23,10,9401.28,4,5,5,455
12569,2,32,4124.6900000000005,5,5,5,555
12571,40,2,519.61,3,2,3,323
12572,9,2,1020.4200000000001,5,2,4,524
12573,227,1,160.54000000000002,1,1,1,111
12574,316,1,218.45000000000002,1,1,1,111
12576,36,5,1315.83,3,4,4,344
12577,35,3,657.8,3,3,3,333
12578,21,2,2794.51,4,2,5,425
12579,78,1,440.42,2,1,2,212
12580,247,1,415.7,1,1,2,112
12581,40,1,197.71,3,1,1,311
12582,239,2,511.36,1,2,3,123
12583,3,15,7281.38,5,5,5,555
12584,4,9,2338.15,5,5,5,555
12585,234,2,2040.1,1,2,4,124
12586,17,1,196.94000000000003,4,1,1,411
12587,8,1,144.0,5,1,1,511
12588,39,1,214.89999999999998,3,1,1,311
12589,29,2,646.68,4,2,3,423
12590,211,2,9864.26,1,2,5,125
12591,317,1,452.84999999999997,1,1,2,112
12592,92,2,437.6,2,2,2,222
12593,109,3,418.1,2,3,2,232
12594,38,10,3338.2200000000003,3,5,5,355
12596,51,2,618.27,3,2,3,323
12597,19,4,3811.22,4,4,5,445
12598,10,8,3023.08,5,5,5,555
12599,29,7,1032.58,4,5,4,454
12600,29,10,2599.04,4,5,5,455
12601,190,5,577.0600000000001,1,4,3,143
12602,59,1,153.12,3,1,1,311
12603,22,1,739.1999999999999,4,1,3,413
12604,79,2,254.18,2,2,2,222
12607,60,1,1579.51,3,1,4,314
12609,78,3,1126.85,2,3,4,234
12610,23,5,2099.54,4,4,5,445
12611,52,1,1193.32,3,1,4,314
12612,74,1,704.04,2,1,3,213
12613,57,5,3344.38,3,4,5,345
12614,278,1,315.6,1,1,2,112
12615,2,4,2291.19,5,4,5,545
12616,95,2,713.3,2,2,3,223
12617,29,1,355.53000000000003,4,1,2,412
12618,22,1,177.31,4,1,1,411
12619,16,9,3641.24,4,5,5,455
12620,15,3,1339.41,4,3,4,434
12621,2,20,13689.67,5,5,5,555
12622,232,1,180.1,1,1,1,111
12623,276,1,305.1,1,1,2,112
12624,106,2,641.13,2,2,3,223
12625,212,2,2683.82,1,2,5,125
12626,23,9,6620.4800000000005,4,5,5,455
12627,11,7,4478.53,5,5,5,555
12628,4,3,786.46,5,3,3,533
12630,10,2,1270.88,5,2,4,524
12631,57,1,640.5,3,1,3,313
12633,59,4,2163.98,3,4,5,345
12635,90,2,1689.18,2,2,4,224
12637,67,8,6021.9,3,5,5,355
12638,33,1,671.69,4,1,3,413
12639,239,1,486.1,1,1,2,112
12640,24,3,1174.58,4,3,4,434
12641,115,1,185.9,2,1,1,211
12642,25,3,1013.26,4,3,4,434
12643,128,6,3344.64,2,5,5,255
12644,130,1,477.90999999999997,2,1,2,212
12645,34,4,1775.18,3,4,4,344
12646,5,2,1346.97,5,2,4,524
12647,22,12,3722.82,4,5,5,455
12648,155,1,318.05,2,1,2,212
12649,107,3,623.51,2,3,3,233
12650,3,1,314.44,5,1,2,512
12651,335,1,114.0,1,1,1,111
12652,331,1,919.98,1,1,3,113
12653,149,2,2209.85,2,2,5,225
12654,11,5,601.98,5,4,3,543
12656,17,5,4051.17,4,4,5,445
12657,11,4,1643.18,5,4,4,544
12658,19,1,686.05,4,1,3,413
12659,30,1,91.68,4,1,1,411
12660,11,1,245.10000000000002,5,1,1,511
12662,1,11,3849.78,5,5,5,555
12664,8,9,4881.88,5,5,5,555
12665,325,1,63.0,1,1,1,111
12667,58,1,620.13,3,1,3,313
12668,12,4,3807.15,5,4,5,545
12669,151,3,2744.0299999999997,2,3,5,235
12670,10,5,2996.05,5,4,5,545
12672,330,1,225.9,1,1,1,111
12673,5,2,610.52,5,2,3,523
12674,39,4,1970.6,3,4,4,344
12676,25,6,1331.39,4,5,4,454
12678,42,12,17628.46,3,5,5,355
12679,59,4,1113.02,3,4,4,344
12680,1,4,862.81,5,4,3,543
12681,15,22,13787.54,4,5,5,455
12682,4,31,12288.22,5,5,5,555
12683,4,15,8476.57,5,5,5,555
12684,8,7,2283.63,5,5,5,555
12685,28,6,2863.08,4,5,5,455
12686,372,1,89.14,1,1,1,111
12688,114,1,4873.81,2,1,5,215
12689,26,2,1247.6100000000001,4,2,4,424
12690,206,1,389.01,1,1,2,112
12691,28,6,1035.8,4,5,4,454
12693,127,4,855.91,2,4,3,243
12694,70,2,869.67,3,2,3,323
12695,7,4,582.1,5,4,3,543
12697,29,3,957.59,4,3,4,434
12700,8,4,4939.99,5,4,5,545
12701,80,2,797.71,2,2,3,223
12702,20,1,219.0,4,1,1,411
12703,71,1,283.55,3,1,2,312
12704,7,8,2340.84,5,5,5,555
12705,15,9,6868.29,4,5,5,455
12707,292,1,603.42,1,1,3,113
12708,30,10,2712.91,4,5,5,455
12709,15,15,9736.52,4,5,5,455
12710,97,3,1149.02,2,3,4,234
12712,29,13,4396.13,4,5,5,455
12713,1,1,848.55,5,1,3,513
12714,9,5,4708.86,5,4,5,545
12715,106,1,353.86,2,1,2,212
12716,4,2,1053.49,5,2,4,524
12717,151,2,1030.98,2,2,4,224
12718,71,1,238.25,3,1,1,311
12719,5,2,644.95,5,2,3,523
12720,3,25,5781.7300000000005,5,5,5,555
12721,32,6,2656.13,4,5,5,455
12722,85,4,997.63,2,4,4,244
12723,4,5,725.07,5,4,3,543
12724,5,4,1031.41,5,4,4,544
12725,371,1,427.8,1,1,2,112
12726,28,7,2609.1,4,5,5,455
12727,11,7,3980.7000000000003,5,5,5,555
12728,71,4,836.33,3,4,3,343
12729,114,1,453.01,2,1,2,212
12731,24,12,18895.91,4,5,5,455
12732,180,1,236.26000000000002,1,1,1,111
12733,234,1,383.95,1,1,2,112
12734,353,1,110.39999999999999,1,1,1,111
12735,315,2,779.5699999999999,1,2,3,123
12736,333,1,234.0,1,1,1,111
12738,372,1,155.35,1,1,1,111
12739,78,2,1013.04,2,2,4,224
12740,64,1,427.6,3,1,2,312
12743,134,2,546.43,2,2,3,223
12744,52,7,21279.29,3,5,5,355
12747,2,11,4196.01,5,5,5,555
12748,1,209,33719.73,5,5,5,555
12749,4,5,4090.88,5,4,5,545
12750,129,1,275.88,2,1,2,212
12752,81,1,4366.78,2,1,5,215
12753,23,6,21429.39,4,5,5,455
12754,236,3,3010.74,1,3,5,135
12755,281,2,3811.9500000000003,1,2,5,125
12756,87,1,112.08,2,1,1,211
12757,16,13,7857.1,4,5,5,455
12758,117,2,2791.59,2,2,5,225
12759,52,3,1531.44,3,3,4,334
12762,8,2,1898.52,5,2,4,524
12763,138,2,494.08,2,2,3,223
12764,317,1,1693.88,1,1,4,114
12766,4,7,6989.63,5,5,5,555
12769,239,1,1143.6,1,1,4,114
12770,211,1,1351.45,1,1,4,114
12772,60,1,892.47,3,1,3,313
12775,17,5,1386.04,4,4,4,444
12778,20,6,822.23,4,5,3,453
12779,38,8,3981.36,3,5,5,355
12781,64,2,826.74,3,2,3,323
12782,5,5,2330.92,5,4,5,545
12783,2,6,2225.91,5,5,5,555
12784,9,2,574.42,5,2,3,523
12785,364,1,311.95,1,1,2,112
12787,10,3,463.66,5,3,2,532
12789,65,1,91.85,3,1,1,311
12790,192,1,324.92,1,1,2,112
12791,374,1,192.60000000000002,1,1,1,111
12792,257,1,400.54,1,1,2,112
12793,335,2,545.48,1,2,3,123
12794,53,2,860.41,3,2,3,323
12795,19,1,430.48,4,1,2,412
12797,366,1,254.03,1,1,2,112
12798,10,3,6977.04,5,3,5,535
12802,187,1,427.58,1,1,2,112
12808,37,3,483.65000000000003,3,3,2,332
12809,178,1,489.31,2,1,2,212
12811,261,3,514.85,1,3,3,133
12812,45,1,229.64000000000001,3,1,1,311
12814,102,1,125.92,2,1,1,211
12815,148,2,1063.46,2,2,4,224
12816,96,2,572.2,2,2,3,223
12817,281,1,166.04000000000002,1,1,1,111
12818,262,1,1542.08,1,1,4,114
12820,3,4,942.34,5,4,4,544
12821,214,1,92.72,1,1,1,111
12822,71,2,948.88,3,2,4,324
12823,75,5,1759.5,2,4,4,244
12824,60,1,397.12,3,1,2,312
12826,3,7,1474.72,5,5,4,554
12827,6,3,430.15,5,3,2,532
12828,3,6,1018.71,5,5,4,554
12829,337,2,293.0,1,2,2,122
12830,38,6,6814.64,3,5,5,355
12831,262,1,215.05,1,1,1,111
12832,32,2,383.03000000000003,4,2,2,422
12833,145,1,417.38,2,1,2,212
12834,283,1,312.38,1,1,2,112
12836,59,4,2612.86,3,4,5,345
12837,173,1,134.1,2,1,1,211
12838,34,2,683.13,3,2,3,323
12839,3,14,5591.42,5,5,5,555
12840,144,4,2726.77,2,4,5,245
12841,5,25,4022.35,5,5,5,555
12842,70,2,1118.99,3,2,4,324
12843,66,8,1702.26,3,5,4,354
12844,29,2,325.96000000000004,4,2,2,422
12845,267,4,354.09000000000003,1,4,2,142
12847,22,1,871.54,4,1,3,413
12849,31,2,1050.89,4,2,4,424
12851,97,1,135.18,2,1,1,211
12852,295,1,311.55,1,1,2,112
12853,135,6,1957.1000000000001,2,5,4,254
12854,79,3,1324.5,2,3,4,234
12855,373,1,38.1,1,1,1,111
12856,8,6,2179.93,5,5,5,555
12857,211,2,1106.4,1,2,4,124
12863,52,1,521.2,3,1,3,313
12864,138,1,147.12,2,1,1,211
12865,26,2,1568.23,4,2,4,424
12866,283,1,559.12,1,1,3,113
12867,26,7,4036.82,4,5,5,455
12868,186,6,1607.0600000000002,1,5,4,154
12871,84,2,380.64,2,2,2,222
12872,327,2,599.97,1,2,3,123
12873,282,1,374.0,1,1,2,112
12875,143,2,343.2300000000001,2,2,2,222
12876,58,2,2218.02,3,2,5,325
12877,4,12,1535.77,5,5,4,554
12878,236,2,854.99,1,2,3,123
12879,45,3,573.22,3,3,3,333
12881,276,1,298.0,1,1,2,112
12882,9,2,1463.04,5,2,4,524
12883,25,4,703.47,4,4,3,443
12884,88,1,309.05,2,1,2,212
12885,63,3,1175.22,3,3,4,334
12886,68,2,1378.4,3,2,4,324
12888,214,2,354.12,1,2,2,122
12890,24,1,380.46999999999997,4,1,2,412
12891,186,3,331.0,1,3,2,132
12893,31,1,188.14,4,1,1,411
12895,42,2,372.8,3,2,2,322
12897,205,2,216.5,1,2,1,121
12901,9,28,17654.54,5,5,5,555
12902,265,1,138.68,1,1,1,111
12904,18,2,509.58,4,2,3,423
12906,12,5,2919.81,5,4,5,545
12908,176,2,750.0,2,2,3,223
12909,40,5,2178.67,3,4,5,345
12910,23,8,3075.04,4,5,5,455
12912,3,5,1662.3,5,4,4,544
12913,5,5,2483.63,5,4,5,545
12915,149,2,363.65,2,2,2,222
12916,139,4,3006.15,2,4,5,245
12917,128,1,594.0,2,1,3,213
12919,8,6,1335.19,5,5,4,554
12920,17,1,164.23,4,1,1,411
12921,9,37,16587.09,5,5,5,555
12922,161,1,405.38,2,1,2,212
12923,64,1,176.97,3,1,1,311
12924,88,4,933.7,2,4,3,243
12925,5,2,694.05,5,2,3,523
12928,35,5,2062.7,3,4,5,345
12929,312,1,117.85,1,1,1,111
12930,78,2,415.8,2,2,2,222
12931,22,15,42055.96,4,5,5,455
12933,24,3,607.53,4,3,3,433
12935,2,7,2160.7,5,5,5,555
12936,17,4,1063.9,4,4,4,444
12937,15,4,1504.27,4,4,4,444
12938,26,1,114.14,4,1,1,411
12939,64,8,11581.8,3,5,5,355
12940,55,2,913.54,3,2,3,323
12942,131,3,683.9,2,3,3,233
12944,36,2,604.51,3,2,3,323
12945,288,1,462.95,1,1,2,112
12947,144,6,1603.99,2,5,4,254
12948,16,7,2064.95,4,5,5,455
12949,31,8,4167.22,4,5,5,455
12950,2,3,1843.0,5,3,4,534
12951,9,6,1064.07,5,5,4,554
12952,6,4,1387.79,5,4,4,544
12953,10,1,329.85,5,1,2,512
12955,1,11,4757.16,5,5,5,555
12956,306,1,108.07,1,1,1,111
12957,10,8,4017.54,5,5,5,555
12962,7,2,266.39,5,2,2,522
12963,8,8,1856.63,5,5,4,554
12965,89,1,771.91,2,1,3,213
12966,10,1,160.18,5,1,1,511
12967,358,2,1660.9,1,2,4,124
12968,112,1,135.95,2,1,1,211
12970,7,4,452.24,5,4,2,542
12971,4,86,11189.91,5,5,5,555
12974,198,1,144.8,1,1,1,111
12976,212,1,738.6,1,1,3,113
12977,156,1,39.239999999999995,2,1,1,211
12980,158,9,7374.900000000001,2,5,5,255
12981,30,2,372.21999999999997,4,2,2,422
12982,243,1,390.54,1,1,2,112
12984,19,1,97.5,4,1,1,411
12985,1,2,1239.38,5,2,4,524
12987,74,2,558.7,2,2,3,223
12988,292,1,535.32,1,1,3,113
12989,3,15,6924.11,5,5,5,555
12990,31,3,409.5,4,3,2,432
12991,23,2,503.76,4,2,3,423
12993,23,4,414.76,4,4,2,442
12994,4,3,974.42,5,3,4,534
12995,85,1,211.32,2,1,1,211
12997,22,4,1226.89,4,4,4,444
12999,196,3,455.88,1,3,2,132
13000,107,3,534.85,2,3,3,233
13001,4,13,9818.82,5,5,5,555
13002,318,1,120.95,1,1,1,111
13003,106,3,149.05,2,3,1,231
13004,12,18,5655.91,5,5,5,555
13005,174,2,513.7,2,2,3,223
13006,56,1,81.57,3,1,1,311
13008,323,1,229.47,1,1,1,111
13011,372,1,50.550000000000004,1,1,1,111
13012,9,8,1661.8400000000001,5,5,4,554
13013,1,13,4810.9400000000005,5,5,5,555
13014,11,10,3466.28,5,5,5,555
13015,53,5,3346.28,3,4,5,345
13016,73,3,789.89,2,3,3,233
13017,7,1,204.0,5,1,1,511
13018,16,28,7277.7,4,5,5,455
13021,4,9,2616.38,5,5,5,555
13023,64,2,689.9,3,2,3,323
13026,1,5,975.36,5,4,4,544
13027,114,6,6912.0,2,5,5,255
13028,23,2,661.3199999999999,4,2,3,423
13029,31,3,1247.5,4,3,4,434
13030,11,2,799.48,5,2,3,523
13032,52,2,1010.1800000000001,3,2,4,324
13033,357,1,190.55,1,1,1,111
13034,55,2,642.77,3,2,3,323
13035,74,2,921.88,2,2,3,223
13037,138,3,881.07,2,3,3,233
13038,80,3,908.46,2,3,3,233
13040,9,2,676.99,5,2,3,523
13043,273,1,516.42,1,1,3,113
13044,291,1,560.47,1,1,3,113
13045,99,1,305.28000000000003,2,1,2,212
13046,31,2,629.31,4,2,3,423
13047,32,10,3237.54,4,5,5,455
13048,14,4,1835.91,4,4,4,444
13049,64,2,656.6800000000001,3,2,3,323
13050,15,17,5836.86,4,5,5,455
13052,212,1,348.15000000000003,1,1,2,112
13055,78,3,1214.41,2,3,4,234
13058,25,3,271.40000000000003,4,3,2,432
13059,250,1,183.4,1,1,1,111
13060,254,1,307.53000000000003,1,1,2,112
13061,72,1,248.61,3,1,1,311
13062,191,1,346.98,1,1,2,112
13064,13,4,1119.49,5,4,4,544
13065,373,1,205.86,1,1,1,111
13066,24,2,470.8,4,2,2,422
13067,82,1,115.46000000000001,2,1,1,211
13068,10,2,344.0,5,2,2,522
13069,1,24,4436.12,5,5,5,555
13070,192,1,228.8,1,1,1,111
13072,267,1,177.15,1,1,1,111
13075,130,1,919.61,2,1,3,213
13077,1,4,729.27,5,4,3,543
13078,3,26,12627.94,5,5,5,555
13079,4,5,220.10000000000002,5,4,1,541
13080,179,1,58.08,2,1,1,211
13081,12,11,28337.38,5,5,5,555
13082,126,9,3613.63,2,5,5,255
13083,4,2,303.75,5,2,2,522
13085,158,2,416.08,2,2,2,222
13089,3,97,58825.83,5,5,5,555
13090,9,14,8910.82,5,5,5,555
13091,28,1,345.82,4,1,2,412
13092,71,5,477.83,3,4,2,342
13093,276,8,7832.47,1,5,5,155
13094,21,12,1927.3200000000002,4,5,4,454
13095,71,1,74.39999999999999,3,1,1,311
13097,33,10,6010.42,4,5,5,455
13098,1,28,28882.44,5,5,5,555
13099,99,1,207.36,2,1,1,211
13101,234,1,101.19,1,1,1,111
13102,1,24,6424.09,5,5,5,555
13103,40,1,243.94,3,1,1,311
13104,3,6,1098.48,5,5,4,554
13106,133,1,76.5,2,1,1,211
13107,44,4,1531.6200000000001,3,4,4,344
13108,373,1,350.06,1,1,2,112
13109,60,2,786.54,3,2,3,323
13110,31,7,1488.67,4,5,4,454
13113,1,24,12245.960000000001,5,5,5,555
13115,12,4,2294.78,5,4,5,545
13116,138,1,501.14,2,1,3,213
13117,22,8,984.91,4,5,4,454
13118,20,5,1197.81,4,4,4,444
13120,239,1,30.6,1,1,1,111
13121,269,1,283.73,1,1,2,112
13122,94,2,922.39,2,2,3,223
13124,90,3,3866.33,2,3,5,235
13126,5,8,2099.64,5,5,5,555
13127,78,1,259.17,2,1,2,212
13130,94,1,64.0,2,1,1,211
13131,23,3,1073.3,4,3,4,434
13132,262,1,77.3,1,1,1,111
13133,274,2,109.8,1,2,1,121
13134,86,4,1793.58,2,4,4,244
13135,197,1,3096.0,1,1,5,115
13136,56,5,2607.61,3,4,5,345
13137,11,8,3650.41,5,5,5,555
13138,22,6,962.39,4,5,4,454
13139,16,7,5064.9400000000005,4,5,5,455
13140,108,3,423.72,2,3,2,232
13141,85,5,2388.75,2,4,5,245
13142,19,1,307.09000000000003,4,1,2,412
13144,333,1,110.95,1,1,1,111
13145,40,4,618.52,3,4,3,343
13146,26,1,228.91,4,1,1,411
13147,10,4,712.8,5,4,3,543
13148,29,12,3707.12,4,5,5,455
13149,14,4,1676.06,4,4,4,444
13151,296,1,1257.8700000000001,1,1,4,114
13153,6,1,486.22,5,1,2,512
13155,33,4,971.76,4,4,4,444
13157,49,4,1741.22,3,4,4,344
13158,95,4,1201.06,2,4,4,244
13159,9,4,1437.85,5,4,4,544
13160,22,1,91.8,4,1,1,411
13161,313,1,112.75,1,1,1,111
13162,122,4,1688.29,2,4,4,244
13165,46,2,1021.48,3,2,4,324
13166,283,1,417.2,1,1,2,112
13167,19,4,791.33,4,4,3,443
13168,36,4,1319.19,3,4,4,344
13169,64,2,712.88,3,2,3,323
13170,27,1,116.00999999999999,4,1,1,411
13171,22,3,468.41,4,3,2,432
13173,4,2,353.65000000000003,5,2,2,522
13174,16,3,2817.03,4,3,5,435
13176,46,1,492.84,3,1,3,313
13177,65,1,282.45,3,1,2,312
13178,26,11,5725.47,4,5,5,455
13182,45,1,121.18,3,1,1,311
13183,8,9,3957.78,5,5,5,555
13184,15,10,1701.29,4,5,4,454
13185,268,1,71.4,1,1,1,111
13186,40,3,1575.89,3,3,4,334
13187,337,1,236.02,1,1,1,111
13188,11,1,114.6,5,1,1,511
13189,19,2,260.68,4,2,2,422
13192,95,2,911.94,2,2,3,223
13193,61,1,117.88,3,1,1,311
13194,136,1,60.7,2,1,1,211
13196,11,4,1797.78,5,4,4,544
13198,10,6,3401.2400000000002,5,5,5,555
13199,4,38,9817.12,5,5,5,555
13200,19,4,870.09,4,4,3,443
13203,10,4,869.46,5,4,3,543
13207,15,2,250.26000000000002,4,2,1,421
13208,59,6,1223.9,3,5,4,354
13209,30,8,5891.61,4,5,5,455
13210,94,1,353.48,2,1,2,212
13211,10,3,1197.42,5,3,4,534
13212,20,3,788.08,4,3,3,433
13213,57,5,1520.58,3,4,4,344
13216,268,1,333.74,1,1,2,112
13217,122,3,533.98,2,3,3,233
13218,127,1,62.64,2,1,1,211
13220,78,4,819.2900000000001,2,4,3,243
13221,240,2,847.41,1,2,3,123
13223,200,2,163.2,1,2,1,121
13224,60,2,2155.95,3,2,5,325
13225,3,7,6463.84,5,5,5,555
13226,273,1,108.21000000000001,1,1,1,111
13227,202,1,257.7,1,1,2,112
13228,81,1,358.0,2,1,2,212
13229,226,1,160.95,1,1,1,111
13230,4,14,2806.97,5,5,5,555
13232,13,7,1357.6,5,5,4,554
13233,74,2,605.12,2,2,3,223
13235,212,1,1031.07,1,1,4,114
13236,25,2,744.85,4,2,3,423
13238,17,4,700.73,4,4,3,443
13239,262,1,329.56,1,1,2,112
13240,96,4,663.65,2,4,3,243
13242,112,3,270.40000000000003,2,3,2,232
13243,203,1,600.07,1,1,3,113
13244,93,1,121.74000000000001,2,1,1,211
13245,51,1,430.5,3,1,2,312
13246,18,6,1987.3,4,5,4,454
13247,18,4,501.12,4,4,3,443
13248,125,2,465.68,2,2,2,222
13249,92,3,711.41,2,3,3,233
13253,157,2,1030.4,2,2,4,224
13255,9,2,399.51,5,2,2,522
13258,12,3,698.5799999999999,5,3,3,533
13259,62,1,292.32,3,1,2,312
13260,61,1,557.62,3,1,3,313
13261,269,2,944.1,1,2,4,124
13262,263,1,200.29,1,1,1,111
13263,1,35,7454.07,5,5,5,555
13265,53,5,2107.66,3,4,5,345
13266,11,12,3834.2599999999998,5,5,5,555
13267,3,19,4521.49,5,5,5,555
13268,18,11,3214.69,4,5,5,455
13269,1,15,5346.2300000000005,5,5,5,555
13270,366,1,590.0,1,1,3,113
